Extension,Size (MB),Count
,26023473.000053,19
.BLOB,109064.125368,2
.LOG,0.0,1
.MAP,4015.007473,2
.Mtx,3e-06,1
.bak,209737.007358,2
.cache,3243960.029807,5
.css,1343.005897,2
.csv,239968444.154698,49
.dat,14.194332,86
.db,0.024576,1
.db-shm,0.032768,1
.db-wal,0.197792,1
.etl,163852288.004096,183
.exe,95137704.26312,4
.gif,1829.000212,6
.heic,0.0,11
.html,14697.003173,3
.ico,0.063163,1
.jpg,23816.032351,2
.js,175255.005241,11
.log,171822702.065142,139
.pem,2127752.265969,9
.png,987.0004670000001,5
.pst,779264.779264,2
.py,0.226326,1
.ses,5.3e-05,1
.tmp,37441180.228993,46
.txt,0.0,1
.wbt,109344984.098744,5
.xlat,222657.02424,10
.xml,0.000493,1
