,File Path,File Name,Extension,Size (MB),Modification Time,Access Time,Creation Time,Parent Directory,Is File,Is Symlink,Absolute Path,Num Lines,Num Functions,Num Classes,Encoding,Num Rows,Num Cols,Num Cells,Empty Cells,Has Password,Num Words,Author,Last Modified By,Original Format,Mode,Width,Height,Num Slides,Subject,Date,Sender,Active Sheet,Sheet Names,Data,Creator,Num Files,File Types,File Names,Error,Num Keys,Key Names,Empty Values,Bitrate,Length,Artist,Title,Organization,Animated,Frames,Message
0,C:\Users\BLUO\Downloads\report\tests\conftest.py,conftest.py,.py,0.000781,2024-01-15 15:33:58,2024-01-17 14:13:37,2024-01-15 15:33:58,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\conftest.py,22.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,C:\Users\BLUO\Downloads\report\tests\directory_analytics_test.py,directory_analytics_test.py,.py,0.001944,2024-01-16 17:56:19,2024-01-17 13:03:43,2024-01-16 16:45:35,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\directory_analytics_test.py,56.0,4.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,C:\Users\BLUO\Downloads\report\tests\directory_report_test.py,directory_report_test.py,.py,0.006582,2024-01-16 17:55:36,2024-01-17 14:13:37,2024-01-15 15:33:58,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\directory_report_test.py,151.0,10.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,C:\Users\BLUO\Downloads\report\tests\test_audio_processor.py,test_audio_processor.py,.py,0.004997,2024-01-15 15:34:01,2024-01-17 12:59:50,2024-01-15 15:34:01,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\test_audio_processor.py,121.0,7.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,C:\Users\BLUO\Downloads\report\tests\test_corrupted_files.py,test_corrupted_files.py,.py,0.00196,2024-01-15 15:34:01,2024-01-17 12:59:50,2024-01-15 15:34:01,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\test_corrupted_files.py,43.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,C:\Users\BLUO\Downloads\report\tests\test_csv_processor.py,test_csv_processor.py,.py,0.001948,2024-01-15 15:34:01,2024-01-17 12:59:50,2024-01-15 15:34:01,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\test_csv_processor.py,43.0,4.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,C:\Users\BLUO\Downloads\report\tests\test_docx_processor.py,test_docx_processor.py,.py,0.002777,2024-01-15 15:34:01,2024-01-17 12:59:50,2024-01-15 15:34:01,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\test_docx_processor.py,73.0,6.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,C:\Users\BLUO\Downloads\report\tests\test_generic_processor.py,test_generic_processor.py,.py,0.001743,2024-01-15 15:34:01,2024-01-17 12:59:50,2024-01-15 15:34:01,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\test_generic_processor.py,44.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,C:\Users\BLUO\Downloads\report\tests\test_gif_processor.py,test_gif_processor.py,.py,0.001753,2024-01-15 15:34:01,2024-01-17 12:59:50,2024-01-15 15:34:01,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\test_gif_processor.py,43.0,4.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,C:\Users\BLUO\Downloads\report\tests\test_heic_processor.py,test_heic_processor.py,.py,0.001571,2024-01-15 15:34:01,2024-01-17 12:59:50,2024-01-15 15:34:01,C:\Users\BLUO\Downloads\report\tests,1,0,C:\Users\BLUO\Downloads\report\tests\test_heic_processor.py,41.0,4.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
