,File Path,File Name,Extension,Size (MB),Modification Time,Access Time,Creation Time,Parent Directory,Is File,Is Symlink,Absolute Path,Message,Error,Encoding,Num Lines,Num Words,Original Format,Mode,Width,Height,Animated,Frames,Num Functions,Num Classes,Num Rows,Num Cols,Num Cells,Empty Cells
0,C:\Users\BLUO\AppData\Local\Temp\.ses,.ses,,5.3e-05,2024-01-17 16:43:16,2024-01-17 16:43:16,2023-12-20 15:43:13,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\.ses,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
1,C:\Users\BLUO\AppData\Local\Temp\02d51d7b-7ef7-4822-8ef4-3f72e1f03670.tmp,02d51d7b-7ef7-4822-8ef4-3f72e1f03670.tmp,.tmp,0.026589,2024-01-17 19:42:16,2024-01-17 19:42:16,2024-01-17 19:41:10,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\02d51d7b-7ef7-4822-8ef4-3f72e1f03670.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
2,C:\Users\BLUO\AppData\Local\Temp\08817875-69bb-45a6-be9f-a148740a0150.tmp,08817875-69bb-45a6-be9f-a148740a0150.tmp,.tmp,12.228993,2024-01-17 19:35:50,2024-01-17 19:43:05,2024-01-17 13:01:54,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\08817875-69bb-45a6-be9f-a148740a0150.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
3,C:\Users\BLUO\AppData\Local\Temp\13a0171b-a06f-42b9-b40c-7f0cb493a289.tmp,13a0171b-a06f-42b9-b40c-7f0cb493a289.tmp,.tmp,0.0,2024-01-17 19:41:10,2024-01-17 19:41:10,2024-01-17 19:41:10,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\13a0171b-a06f-42b9-b40c-7f0cb493a289.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
4,C:\Users\BLUO\AppData\Local\Temp\2251ec02-d9e5-4089-a595-58688f3d748f.tmp,2251ec02-d9e5-4089-a595-58688f3d748f.tmp,.tmp,0.577285,2024-01-17 13:00:48,2024-01-17 15:31:01,2024-01-17 12:59:42,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\2251ec02-d9e5-4089-a595-58688f3d748f.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
5,C:\Users\BLUO\AppData\Local\Temp\27b3d03c-3620-4ae0-b38d-e5da29b84302.tmp,27b3d03c-3620-4ae0-b38d-e5da29b84302.tmp,.tmp,0.0,2024-01-17 12:57:39,2024-01-17 12:57:39,2024-01-17 12:57:39,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\27b3d03c-3620-4ae0-b38d-e5da29b84302.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
6,C:\Users\BLUO\AppData\Local\Temp\3f12b297-ab88-465f-8c58-6996941ebf69.tmp,3f12b297-ab88-465f-8c58-6996941ebf69.tmp,.tmp,0.01993,2024-01-17 13:00:59,2024-01-17 15:08:44,2024-01-17 12:59:53,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\3f12b297-ab88-465f-8c58-6996941ebf69.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
7,C:\Users\BLUO\AppData\Local\Temp\47d13558-ddf7-435d-96d8-f9e4369bbeec.tmp,47d13558-ddf7-435d-96d8-f9e4369bbeec.tmp,.tmp,2.582174,2024-01-17 15:36:25,2024-01-17 18:45:05,2024-01-17 12:59:42,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\47d13558-ddf7-435d-96d8-f9e4369bbeec.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
8,C:\Users\BLUO\AppData\Local\Temp\50072cf9-ec86-4151-80e7-f4e6702dd15a.tmp,50072cf9-ec86-4151-80e7-f4e6702dd15a.tmp,.tmp,0.302691,2024-01-17 12:59:57,2024-01-17 19:38:19,2024-01-17 12:59:39,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\50072cf9-ec86-4151-80e7-f4e6702dd15a.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
9,C:\Users\BLUO\AppData\Local\Temp\613e6cad-c2c8-4af8-8334-4b85cfaac5fb.tmp,613e6cad-c2c8-4af8-8334-4b85cfaac5fb.tmp,.tmp,5.454921,2024-01-17 19:43:06,2024-01-17 19:43:06,2024-01-17 19:41:05,C:\Users\BLUO\AppData\Local\Temp,1,0,C:\Users\BLUO\AppData\Local\Temp\613e6cad-c2c8-4af8-8334-4b85cfaac5fb.tmp,This is a generic processor. Limited functionality available. File was not opened,,,,,,,,,,,,,,,,
