File Path,File Name,Owner,Extension,Size (MB),Modification Time,Access Time,Creation Time,Parent Directory,Permissions,Is File,Is Symlink,Absolute Path,Metadata
tests\conftest.py,conftest.py,AD/BLUO,.py,0.000718,2024-02-05 18:43:10,2024-03-01 13:08:26,2024-01-15 15:33:58,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\conftest.py,"{""num_lines"": 20, ""num_functions"": 2, ""num_classes"": 0}"
tests\directory_analytics_test.py,directory_analytics_test.py,AD/BLUO,.py,0.00179,2024-02-05 18:09:38,2024-03-01 13:08:26,2024-01-16 16:45:35,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\directory_analytics_test.py,"{""num_lines"": 58, ""num_functions"": 4, ""num_classes"": 0}"
tests\directory_report_test.py,directory_report_test.py,AD/BLUO,.py,0.01056,2024-03-01 12:53:03,2024-03-01 13:08:26,2024-01-15 15:33:58,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\directory_report_test.py,"{""num_lines"": 221, ""num_functions"": 12, ""num_classes"": 0}"
tests\directory_similarity_test.py,directory_similarity_test.py,AD/BLUO,.py,0.003561,2024-02-05 18:09:38,2024-03-01 13:08:26,2024-02-05 18:09:38,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\directory_similarity_test.py,"{""num_lines"": 73, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_audio_processor.py,test_audio_processor.py,AD/BLUO,.py,0.004941,2024-02-07 13:13:23,2024-03-01 13:08:26,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_audio_processor.py,"{""num_lines"": 122, ""num_functions"": 7, ""num_classes"": 0}"
tests\test_corrupted_files.py,test_corrupted_files.py,AD/BLUO,.py,0.001879,2024-02-05 18:39:07,2024-03-01 13:08:26,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_corrupted_files.py,"{""num_lines"": 42, ""num_functions"": 2, ""num_classes"": 0}"
tests\test_csv_processor.py,test_csv_processor.py,AD/BLUO,.py,0.0019,2024-02-05 18:39:01,2024-03-01 13:08:26,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_csv_processor.py,"{""num_lines"": 42, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_docx_processor.py,test_docx_processor.py,AD/BLUO,.py,0.00265,2024-02-05 18:39:18,2024-03-01 13:08:26,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_docx_processor.py,"{""num_lines"": 73, ""num_functions"": 6, ""num_classes"": 0}"
tests\test_file_similarity.py,test_file_similarity.py,AD/BLUO,.py,0.001513,2024-02-09 15:13:09,2024-03-01 13:08:26,2024-02-07 14:17:15,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_file_similarity.py,"{""num_lines"": 41, ""num_functions"": 2, ""num_classes"": 0}"
tests\test_generic_processor.py,test_generic_processor.py,AD/BLUO,.py,0.001695,2024-02-05 18:09:38,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_generic_processor.py,"{""num_lines"": 41, ""num_functions"": 3, ""num_classes"": 0}"
tests\test_gif_processor.py,test_gif_processor.py,AD/BLUO,.py,0.001705,2024-02-05 18:39:54,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_gif_processor.py,"{""num_lines"": 42, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_heic_processor.py,test_heic_processor.py,AD/BLUO,.py,0.001523,2024-02-05 18:40:02,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_heic_processor.py,"{""num_lines"": 40, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_html_processor.py,test_html_processor.py,AD/BLUO,.py,0.001395,2024-02-05 18:39:25,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_html_processor.py,"{""num_lines"": 39, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_jpeg_processor.py,test_jpeg_processor.py,AD/BLUO,.py,0.001523,2024-02-05 18:37:29,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_jpeg_processor.py,"{""num_lines"": 41, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_json_processor.py,test_json_processor.py,AD/BLUO,.py,0.001646,2024-02-05 18:39:34,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_json_processor.py,"{""num_lines"": 39, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_msg_processor.py,test_msg_processor.py,AD/BLUO,.py,0.001983,2024-02-05 18:40:10,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_msg_processor.py,"{""num_lines"": 48, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_ocr_decorator.py,test_ocr_decorator.py,AD/BLUO,.py,0.002235,2024-03-01 12:53:03,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_ocr_decorator.py,"{""num_lines"": 50, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_pdf_processor.py,test_pdf_processor.py,AD/BLUO,.py,0.001553,2024-02-05 18:41:53,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_pdf_processor.py,"{""num_lines"": 45, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_png_processor.py,test_png_processor.py,AD/BLUO,.py,0.001697,2024-02-05 18:37:12,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_png_processor.py,"{""num_lines"": 44, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_pptx_processor.py,test_pptx_processor.py,AD/BLUO,.py,0.002901,2024-02-05 18:42:07,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_pptx_processor.py,"{""num_lines"": 76, ""num_functions"": 6, ""num_classes"": 0}"
tests\test_py_processor.py,test_py_processor.py,AD/BLUO,.py,0.001846,2024-02-05 18:41:58,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_py_processor.py,"{""num_lines"": 46, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_rtf_processor.py,test_rtf_processor.py,AD/BLUO,.py,0.001155,2024-02-05 18:42:02,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_rtf_processor.py,"{""num_lines"": 36, ""num_functions"": 4, ""num_classes"": 0}"
tests\test_tif_processor.py,test_tif_processor.py,AD/BLUO,.py,0.001513,2024-02-05 18:42:56,2024-03-01 13:08:27,2024-01-15 15:34:01,tests,Unrestricted (666),1,0,C:\Users\BLUO\Downloads\report\tests\test_tif_processor.py,"{""num_lines"": 40, ""num_functions"": 4, ""num_classes"": 0}"
