file_path,open_file,file_name,owner,extension,size,modification_time,access_time,creation_time,parent_directory,permissions,is_file,is_symlink,absolute_path,metadata
tests\resources\similarity_test_files\CPP_retirement_pension.txt,False,CPP_retirement_pension.txt,AD/BLUO,.txt,5187,1707156577.852268,1709298594.7177243,1707156577.852268,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\CPP_retirement_pension.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\documents_for_express_entry.txt,False,documents_for_express_entry.txt,AD/BLUO,.txt,2640,1707156577.8689303,1709298594.7392294,1707156577.8689303,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\documents_for_express_entry.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\EI_regular_benefits.txt,False,EI_regular_benefits.txt,AD/BLUO,.txt,4278,1707156577.8556285,1709298594.7491796,1707156577.8552496,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\EI_regular_benefits.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\express_entry.txt,False,express_entry.txt,AD/BLUO,.txt,2471,1707156577.8709714,1709298594.756179,1707156577.8709714,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\express_entry.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\funding_culture_history_sport.txt,False,funding_culture_history_sport.txt,AD/BLUO,.txt,7667,1707156577.8729692,1709298594.7691789,1707156577.8729692,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\funding_culture_history_sport.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\healthcare_system.txt,False,healthcare_system.txt,AD/BLUO,.txt,5377,1707156577.8749666,1709298594.7740326,1707156577.8749666,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\healthcare_system.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\history_of_canada.txt,False,history_of_canada.txt,AD/BLUO,.txt,4337,1707156577.877952,1709298594.7740326,1707156577.877952,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\history_of_canada.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\how_courts_are_organized.txt,False,how_courts_are_organized.txt,AD/BLUO,.txt,6919,1707156577.88104,1709298594.7897024,1707156577.88104,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\how_courts_are_organized.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\national_security_act.txt,False,national_security_act.txt,AD/BLUO,.txt,1492,1707156577.88403,1709298594.8053224,1707156577.8830335,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\national_security_act.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\net_zero_emissions_by_2050.txt,False,net_zero_emissions_by_2050.txt,AD/BLUO,.txt,4307,1707156577.8860235,1709298594.8053224,1707156577.8860235,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\net_zero_emissions_by_2050.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\origin_of_name_canada.txt,False,origin_of_name_canada.txt,AD/BLUO,.txt,2784,1707156577.8890135,1709298594.82017,1707156577.8890135,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\origin_of_name_canada.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\personal_income_tax.txt,False,personal_income_tax.txt,AD/BLUO,.txt,3124,1707156577.8921213,1709298594.830219,1707156577.8921213,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\personal_income_tax.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\start_a_business.txt,False,start_a_business.txt,AD/BLUO,.txt,10039,1707156577.8941147,1709298594.8456836,1707156577.8941147,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\start_a_business.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\travel_advisories.txt,False,travel_advisories.txt,AD/BLUO,.txt,18111,1707156577.896108,1709298594.865686,1707156577.896108,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\travel_advisories.txt,{'message': 'File was not opened'}
tests\resources\similarity_test_files\visitors_to_canada.txt,False,visitors_to_canada.txt,AD/BLUO,.txt,16741,1707156577.898101,1709298594.8838472,1707156577.898101,tests\resources\similarity_test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\similarity_test_files\visitors_to_canada.txt,{'message': 'File was not opened'}
tests\resources\test_files\2021_Census_English.csv,False,2021_Census_English.csv,AD/BLUO,.csv,5384414,1700000000.0,1709298603.4077413,1705332838.8281286,tests\resources\test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\test_files\2021_Census_English.csv,{'message': 'File was not opened'}
tests\resources\test_files\2021_Census_English_corrupted.csv,False,2021_Census_English_corrupted.csv,AD/BLUO,.csv,5347579,1705332838.845677,1709298624.25508,1705332838.8436835,tests\resources\test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\test_files\2021_Census_English_corrupted.csv,{'message': 'File was not opened'}
tests\resources\test_files\align.py,False,align.py,AD/BLUO,.py,6386,1705332840.4219763,1709298624.2666447,1705332840.4219763,tests\resources\test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\test_files\align.py,{'message': 'File was not opened'}
tests\resources\test_files\Approved_Schools_2023_10_01.csv,False,Approved_Schools_2023_10_01.csv,AD/BLUO,.csv,1445900,1705332838.8530602,1709298624.287863,1705332838.852124,tests\resources\test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Approved_Schools_2023_10_01.csv,{'message': 'File was not opened'}
tests\resources\test_files\ArtificialNeuralNetworksForBeginners.pdf,False,ArtificialNeuralNetworksForBeginners.pdf,AD/BLUO,.pdf,221266,1705332838.8560505,1709298624.3004155,1705332838.8560505,tests\resources\test_files,666,True,False,C:\Users\BLUO\Downloads\report\tests\resources\test_files\ArtificialNeuralNetworksForBeginners.pdf,{'message': 'File was not opened'}
